link_site,categoryOrigin,categoryNew
https://www.businessinsider.com/advertising,Advertising,business
https://www.businessinsider.com/clusterstock,Finance,business
https://www.businessinsider.com/defense,Defense,politic
https://www.businessinsider.com/healthcare,HealthCare,business
https://www.businessinsider.com/retail,Retail,business
https://www.businessinsider.com/reviews/beauty/bath-body,Bath-body,life
https://www.businessinsider.com/reviews/beauty/fragrance,Fragrance,life
https://www.businessinsider.com/reviews/beauty/hair-care,Hair-care,life
https://www.businessinsider.com/reviews/beauty/makeup,Makeup,life
https://www.businessinsider.com/reviews/beauty/shaving-grooming,Shaving-grooming,life
https://www.businessinsider.com/reviews/beauty/skin-care,Skin-care,life
https://www.businessinsider.com/reviews/beauty/teeth,Teeth,life
https://www.businessinsider.com/reviews/deals/black-friday,Black-friday,life
https://www.businessinsider.com/reviews/deals/cyber-monday,Cyber-monday,life
https://www.businessinsider.com/reviews/electronics/audio,Audio,technology
https://www.businessinsider.com/reviews/electronics/batteries-charging,Batteries-Charging,technology
https://www.businessinsider.com/reviews/electronics/cameras,Cameras,technology
https://www.businessinsider.com/reviews/electronics/computers,Computers,technology
https://www.businessinsider.com/reviews/electronics/fitness,Fitness,technology
https://www.businessinsider.com/reviews/electronics/gaming,Gaming,technology
https://www.businessinsider.com/reviews/electronics/headphones,Headphones,technology
https://www.businessinsider.com/reviews/electronics/home-theater,Home-theater,technology
https://www.businessinsider.com/reviews/electronics/laptops,Laptops,technology
https://www.businessinsider.com/reviews/electronics/printers-scanners,Printers-scanners,technology
https://www.businessinsider.com/reviews/electronics/smart-home,Smart-home,technology
https://www.businessinsider.com/reviews/electronics/smartphones,Smartphones,technology
https://www.businessinsider.com/reviews/electronics/storage,Storage,technology
https://www.businessinsider.com/reviews/electronics/tablets,Tablets,technology
https://www.businessinsider.com/reviews/electronics/tech-accessories,Tech-Accessories,technology
https://www.businessinsider.com/reviews/electronics/tvs,TV,technology
https://www.businessinsider.com/reviews/gifts/baby,Baby,life
https://www.businessinsider.com/reviews/gifts/christmas,Christmas,life
https://www.businessinsider.com/reviews/gifts/everyone,Everyone,life
https://www.businessinsider.com/reviews/gifts/fathers-day,Fathers-day,life
https://www.businessinsider.com/reviews/gifts/kids,Kids,life
https://www.businessinsider.com/reviews/gifts/men,Men,life
https://www.businessinsider.com/reviews/gifts/mothers-day,Mothers-day,life
https://www.businessinsider.com/reviews/gifts/teens,Teens,life
https://www.businessinsider.com/reviews/gifts/valentines-day,Valentines-day,life
https://www.businessinsider.com/reviews/gifts/women,Women,life
https://www.businessinsider.com/reviews/home/bathroom,Bathroom,life
https://www.businessinsider.com/reviews/home/bedroom,Bedroom,life
https://www.businessinsider.com/reviews/home/cleaning,Cleaning,life
https://www.businessinsider.com/reviews/home/closet-laundry,Closet-laundry,life
https://www.businessinsider.com/reviews/home/entertaining,Entertaining,life
https://www.businessinsider.com/reviews/home/furniture,Furniture,life
https://www.businessinsider.com/reviews/home/garage,Garage,life
https://www.businessinsider.com/reviews/home/gardenin,Gardening,life
https://www.businessinsider.com/reviews/home/holiday-decor,Holiday-decor,life
